Date,Open,High,Low,Close,Adj Close,Volume
3/17/2022,37.849998,37.91,36.615002,37.790001,37.790001,4810800
3/18/2022,37.610001,38.68,37.529999,38.619999,38.619999,5562000
3/21/2022,37.91,38,36.220001,36.849998,36.849998,5596700
3/22/2022,37.139999,38.611,36.869999,38.25,38.25,4818500
3/23/2022,37.98,38.740002,37.529999,38.43,38.43,5154000
3/24/2022,38.43,39.016998,37.119999,38.98,38.98,4886400
3/25/2022,39,39,37.209999,37.509998,37.509998,3394200
3/28/2022,37.540001,37.830002,36.5,37.59,37.59,4280200
3/29/2022,38.040001,40.459,38.040001,40.16,40.16,7119000
3/30/2022,39.75,40,38.215,38.650002,38.650002,3777200
3/31/2022,38.799999,38.959999,37.630001,38.400002,38.400002,4736200
4/1/2022,38.400002,38.900002,37.240002,37.52,37.52,4260100
4/4/2022,37.93,39.310001,37.66,38.959999,38.959999,3527000
4/5/2022,38.98,39.130001,37.029999,37.150002,37.150002,4198700
4/6/2022,36.380001,36.509998,34.889999,36.080002,36.080002,6662400
4/7/2022,36.09,36.220001,33.599998,34.610001,34.610001,6403800
4/8/2022,34.195,34.5,33.369999,33.59,33.59,4696100
4/11/2022,32.93,34.029999,32.349998,33.32,33.32,4052400
4/12/2022,33.619999,34.389999,33.130001,33.450001,33.450001,3880500
4/13/2022,33.560001,34.939999,33.403,34.799999,34.799999,4059200
4/14/2022,35.060001,36.099998,34.77,35.540001,35.540001,5632000
4/18/2022,35.290001,35.650002,34.384998,34.610001,34.610001,3041000
4/19/2022,34.959999,36.43,34.855,36.310001,36.310001,3967100
4/20/2022,36.5,36.790001,35.611,35.700001,35.700001,3289300
4/21/2022,36.59,36.919998,33.970001,34.110001,34.110001,6109200
4/22/2022,34.139999,34.57,32.869999,33.16,33.16,3653200
4/25/2022,32.849998,34.119999,32.709999,33.91,33.91,5292700
4/26/2022,33.360001,33.740002,32.400002,32.450001,32.450001,4226700
4/27/2022,32.07,33,31.52,32.23,32.23,4989000
4/28/2022,32.900002,33.830002,31.879999,33.560001,33.560001,4543900
4/29/2022,33.259998,34.355,32.560001,32.599998,32.599998,4721500
5/2/2022,32.259998,32.525002,29.93,31.5,31.5,11738200
5/3/2022,31.389999,31.65,30.059999,30.76,30.76,21704100
