Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,45.540001,46.529999,44.990002,45.270000,45.270000,31903000
2021-11-05,47.500000,48.740002,46.610001,47.189999,47.189999,45641500
2021-11-08,47.080002,47.645000,45.820000,45.889999,45.889999,25257900
2021-11-09,45.910000,45.980000,43.680000,45.509998,45.509998,33588900
2021-11-10,44.900002,45.250000,42.599998,43.380001,43.380001,33712200
2021-11-11,43.320000,43.720001,42.439999,43.279999,43.279999,27307800
2021-11-12,43.570000,45.130001,43.570000,45.119999,45.119999,29804600
2021-11-15,45.110001,45.259998,43.560001,43.610001,43.610001,19690000
2021-11-16,45.540001,46.660000,44.861000,45.759998,45.759998,46219700
2021-11-17,45.360001,45.639999,43.900002,44.110001,44.110001,25036400
2021-11-18,44.529999,45.325001,43.575001,45.000000,45.000000,27839900
2021-11-19,43.930000,44.720001,43.500000,44.230000,44.230000,21465500
2021-11-22,43.959999,44.400002,41.805000,42.599998,42.599998,31355200
2021-11-23,42.380001,43.139999,41.599998,42.680000,42.680000,18099400
2021-11-24,42.000000,42.369999,41.240002,42.080002,42.080002,17118200
2021-11-26,39.610001,40.619999,38.770000,40.520000,40.520000,35453600
2021-11-29,41.060001,41.250000,38.779999,39.700001,39.700001,27724400
2021-11-30,39.250000,39.950001,37.035000,38.000000,38.000000,55268500
2021-12-01,39.450001,39.500000,35.799999,36.020000,36.020000,47316400
2021-12-02,36.549999,38.395000,36.450001,38.119999,38.119999,32267000
2021-12-03,37.419998,37.840000,35.259998,35.849998,35.849998,47392700
2021-12-06,35.950001,38.689999,35.439999,38.490002,38.490002,36689200
2021-12-07,39.400002,40.220001,37.759998,38.080002,38.080002,40443300
2021-12-08,38.299999,39.410000,38.009998,38.810001,38.810001,29688600
2021-12-09,38.439999,38.700001,37.474998,37.540001,37.540001,22994800
2021-12-10,37.410000,37.869999,36.610001,36.669998,36.669998,25760600
2021-12-13,36.180000,36.307999,34.880001,35.730000,35.730000,38394700
2021-12-14,35.250000,38.450001,35.209999,37.259998,37.259998,45491700
2021-12-15,36.910000,38.375000,36.240002,37.830002,37.830002,37612600
2021-12-16,38.250000,38.577000,37.125000,37.700001,37.700001,31478400
2021-12-17,37.200001,40.000000,36.740002,39.680000,39.680000,51048100
2021-12-20,38.450001,40.148998,38.080002,39.700001,39.700001,28153700
2021-12-21,39.820000,42.080002,39.820000,41.970001,41.970001,28385200
2021-12-22,41.950001,43.230000,41.450001,43.020000,43.020000,27675700
2021-12-23,43.029999,44.349998,42.759998,43.910000,43.910000,21763400
2021-12-27,43.439999,44.240002,42.820000,42.959999,42.959999,28285000
2021-12-28,42.599998,43.740002,42.299999,42.540001,42.540001,21481000
2021-12-29,42.720001,42.930000,41.814999,42.459999,42.459999,15908600
2021-12-30,42.290001,43.340000,42.200001,42.660000,42.660000,13516300
2021-12-31,42.529999,43.119999,41.930000,41.930000,41.930000,13746900
2022-01-03,42.480000,44.404999,41.889999,43.950001,43.950001,26089000
2022-01-04,44.230000,44.799999,42.580002,44.419998,44.419998,30845300
2022-01-05,44.290001,45.900002,42.860001,43.240002,43.240002,28498700
2022-01-06,43.110001,44.080002,40.970001,42.029999,42.029999,32434300
2022-01-07,42.000000,42.650002,41.200001,41.509998,41.509998,24875800
2022-01-10,41.480000,42.810001,40.160000,42.599998,42.599998,29783800
2022-01-11,42.360001,44.169998,42.189999,43.619999,43.619999,22161000
2022-01-12,43.990002,44.099998,42.535000,43.040001,43.040001,18993900
2022-01-13,43.340000,43.919998,42.724998,42.869999,42.869999,17190100
2022-01-14,42.400002,42.720001,40.355000,41.509998,41.509998,25817800
2022-01-18,40.959999,40.959999,38.369999,38.410000,38.410000,36873700
2022-01-19,38.209999,38.889999,37.115002,37.860001,37.860001,35552500
2022-01-20,38.290001,39.639999,37.750000,37.820000,37.820000,21720100
2022-01-21,37.410000,37.599998,35.845001,35.939999,35.939999,41836800
2022-01-24,34.910000,36.419998,33.509998,36.279999,36.279999,49261600
2022-01-25,35.470001,36.090000,34.514999,34.820000,34.820000,29577000
2022-01-26,36.070000,36.680000,34.450001,34.799999,34.799999,29495900
2022-01-27,35.369999,35.790001,33.939999,34.090000,34.090000,26086700
2022-01-28,34.169998,35.220001,32.810001,35.209999,35.209999,28007100
2022-01-31,35.340000,37.540001,35.299999,37.400002,37.400002,22899300
2022-02-01,37.630001,38.705002,37.200001,38.610001,38.610001,19669900
2022-02-02,38.529999,38.619999,37.029999,37.169998,37.169998,19591100
2022-02-03,36.080002,36.740002,34.299999,34.540001,34.540001,32192100
2022-02-04,35.000000,37.355000,34.360001,37.049999,37.049999,33082100
2022-02-07,36.985001,39.049999,36.985001,37.540001,37.540001,30303200
2022-02-08,37.250000,38.570000,36.950001,38.340000,38.340000,25857600
2022-02-09,38.810001,40.400002,38.160000,40.189999,40.189999,52614100
2022-02-10,41.000000,42.560001,37.349998,37.750000,37.750000,113915000
2022-02-11,37.959999,38.650002,34.480000,35.290001,35.290001,72568400
2022-02-14,35.200001,35.990002,34.320000,34.590000,34.590000,44556700
2022-02-15,35.439999,37.209999,35.110001,37.090000,37.090000,38183500
2022-02-16,36.630001,37.389999,36.270000,36.580002,36.580002,33165900
2022-02-17,36.130001,37.430000,35.410000,35.709999,35.709999,28432100
